"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"13.02.2018 11:15 - 13.02.2018 11:30","587","662"
"13.02.2018 11:30 - 13.02.2018 11:45","591","651"
"13.02.2018 11:45 - 13.02.2018 12:00","592","659"
"13.02.2018 12:00 - 13.02.2018 12:15","578","660"
"13.02.2018 12:15 - 13.02.2018 12:30","582","661"
"13.02.2018 12:30 - 13.02.2018 12:45","591","659"
"13.02.2018 12:45 - 13.02.2018 13:00","595","663"
"13.02.2018 13:00 - 13.02.2018 13:15","569","662"
"13.02.2018 13:15 - 13.02.2018 13:30","560","640"
"13.02.2018 13:30 - 13.02.2018 13:45","552","642"
"13.02.2018 13:45 - 13.02.2018 14:00","544","621"
"13.02.2018 14:00 - 13.02.2018 14:15","540","622"
"13.02.2018 14:15 - 13.02.2018 14:30","538","612"
"13.02.2018 14:30 - 13.02.2018 14:45","536","628"
"13.02.2018 14:45 - 13.02.2018 15:00","530","620"
"13.02.2018 15:00 - 13.02.2018 15:15","525","641"
"13.02.2018 15:15 - 13.02.2018 15:30","525","599"
"13.02.2018 15:30 - 13.02.2018 15:45","522","612"
"13.02.2018 15:45 - 13.02.2018 16:00","518","634"
"13.02.2018 16:00 - 13.02.2018 16:15","526","633"
"13.02.2018 16:15 - 13.02.2018 16:30","520","598"
"13.02.2018 16:30 - 13.02.2018 16:45","519","603"
"13.02.2018 16:45 - 13.02.2018 17:00","513","574"
"13.02.2018 17:00 - 13.02.2018 17:15","536","568"
"13.02.2018 17:15 - 13.02.2018 17:30","534","569"
"13.02.2018 17:30 - 13.02.2018 17:45","532","595"
"13.02.2018 17:45 - 13.02.2018 18:00","534","576"
"13.02.2018 18:00 - 13.02.2018 18:15","532","624"
"13.02.2018 18:15 - 13.02.2018 18:30","536","695"
"13.02.2018 18:30 - 13.02.2018 18:45","551","758"
"13.02.2018 18:45 - 13.02.2018 19:00","567","715"
"13.02.2018 19:00 - 13.02.2018 19:15","575","725"
"13.02.2018 19:15 - 13.02.2018 19:30","583","723"
"13.02.2018 19:30 - 13.02.2018 19:45","583","703"
"13.02.2018 19:45 - 13.02.2018 20:00","582","713"
"13.02.2018 20:00 - 13.02.2018 20:15","570","683"
"13.02.2018 20:15 - 13.02.2018 20:30","563","635"
"13.02.2018 20:30 - 13.02.2018 20:45","554","614"
"13.02.2018 20:45 - 13.02.2018 21:00","545","634"
"13.02.2018 21:00 - 13.02.2018 21:15","546","630"
"13.02.2018 21:15 - 13.02.2018 21:30","532","643"
"13.02.2018 21:30 - 13.02.2018 21:45","520","648"
"13.02.2018 21:45 - 13.02.2018 22:00","507","631"
"13.02.2018 22:00 - 13.02.2018 22:15","513","624"
"13.02.2018 22:15 - 13.02.2018 22:30","502","674"
"13.02.2018 22:30 - 13.02.2018 22:45","491","694"
"13.02.2018 22:45 - 13.02.2018 23:00","477","704"
"13.02.2018 23:00 - 13.02.2018 23:15","522","672"
"13.02.2018 23:15 - 13.02.2018 23:30","524","630"
"13.02.2018 23:30 - 13.02.2018 23:45","513","594"
"13.02.2018 23:45 - 14.02.2018 00:00","503","612"
"14.02.2018 00:00 - 14.02.2018 00:15","516","599"
"14.02.2018 00:15 - 14.02.2018 00:30","505","630"
"14.02.2018 00:30 - 14.02.2018 00:45","496","595"
"14.02.2018 00:45 - 14.02.2018 01:00","488","612"
"14.02.2018 01:00 - 14.02.2018 01:15","486","600"
"14.02.2018 01:15 - 14.02.2018 01:30","479","632"
"14.02.2018 01:30 - 14.02.2018 01:45","475","629"
"14.02.2018 01:45 - 14.02.2018 02:00","466","611"
"14.02.2018 02:00 - 14.02.2018 02:15","462","585"
"14.02.2018 02:15 - 14.02.2018 02:30","458","593"
"14.02.2018 02:30 - 14.02.2018 02:45","453","568"
"14.02.2018 02:45 - 14.02.2018 03:00","449","571"
"14.02.2018 03:00 - 14.02.2018 03:15","451","550"
"14.02.2018 03:15 - 14.02.2018 03:30","447","568"
"14.02.2018 03:30 - 14.02.2018 03:45","445","547"
"14.02.2018 03:45 - 14.02.2018 04:00","445","547"
"14.02.2018 04:00 - 14.02.2018 04:15","448","558"
"14.02.2018 04:15 - 14.02.2018 04:30","448","562"
"14.02.2018 04:30 - 14.02.2018 04:45","446","565"
"14.02.2018 04:45 - 14.02.2018 05:00","448","557"
"14.02.2018 05:00 - 14.02.2018 05:15","462","529"
"14.02.2018 05:15 - 14.02.2018 05:30","462","529"
"14.02.2018 05:30 - 14.02.2018 05:45","466","525"
"14.02.2018 05:45 - 14.02.2018 06:00","466","511"
"14.02.2018 06:00 - 14.02.2018 06:15","475","510"
"14.02.2018 06:15 - 14.02.2018 06:30","482","552"
"14.02.2018 06:30 - 14.02.2018 06:45","493","612"
"14.02.2018 06:45 - 14.02.2018 07:00","512","598"
"14.02.2018 07:00 - 14.02.2018 07:15","479","615"
"14.02.2018 07:15 - 14.02.2018 07:30","499","571"
"14.02.2018 07:30 - 14.02.2018 07:45","513","575"
"14.02.2018 07:45 - 14.02.2018 08:00","532","566"
"14.02.2018 08:00 - 14.02.2018 08:15","544","576"
"14.02.2018 08:15 - 14.02.2018 08:30","562","639"
"14.02.2018 08:30 - 14.02.2018 08:45","578","649"
"14.02.2018 08:45 - 14.02.2018 09:00","585","663"
"14.02.2018 09:00 - 14.02.2018 09:15","590","665"
"14.02.2018 09:15 - 14.02.2018 09:30","594","692"
"14.02.2018 09:30 - 14.02.2018 09:45","600","671"
"14.02.2018 09:45 - 14.02.2018 10:00","601","698"
"14.02.2018 10:00 - 14.02.2018 10:15","595","688"
"14.02.2018 10:15 - 14.02.2018 10:30","598","737"
"14.02.2018 10:30 - 14.02.2018 10:45","601","733"
"14.02.2018 10:45 - 14.02.2018 11:00","601","710"
"14.02.2018 11:00 - 14.02.2018 11:15","594","693"
"14.02.2018 11:15 - 14.02.2018 11:30","596","672"
"14.02.2018 11:30 - 14.02.2018 11:45","597","661"
"14.02.2018 11:45 - 14.02.2018 12:00","599","667"
"14.02.2018 12:00 - 14.02.2018 12:15","589","675"
"14.02.2018 12:15 - 14.02.2018 12:30","593","657"
"14.02.2018 12:30 - 14.02.2018 12:45","604","664"
"14.02.2018 12:45 - 14.02.2018 13:00","604","677"
"14.02.2018 13:00 - 14.02.2018 13:15","587","663"
"14.02.2018 13:15 - 14.02.2018 13:30","578","648"
"14.02.2018 13:30 - 14.02.2018 13:45","567","632"
"14.02.2018 13:45 - 14.02.2018 14:00","563","628"
"14.02.2018 14:00 - 14.02.2018 14:15","564","630"
"14.02.2018 14:15 - 14.02.2018 14:30","562","631"
"14.02.2018 14:30 - 14.02.2018 14:45","556","634"
"14.02.2018 14:45 - 14.02.2018 15:00","550","620"
"14.02.2018 15:00 - 14.02.2018 15:15","556","605"
"14.02.2018 15:15 - 14.02.2018 15:30","554","598"
"14.02.2018 15:30 - 14.02.2018 15:45","545","595"
"14.02.2018 15:45 - 14.02.2018 16:00","543","583"
"14.02.2018 16:00 - 14.02.2018 16:15","542","573"
"14.02.2018 16:15 - 14.02.2018 16:30","542","601"
"14.02.2018 16:30 - 14.02.2018 16:45","538","590"
"14.02.2018 16:45 - 14.02.2018 17:00","539","569"
"14.02.2018 17:00 - 14.02.2018 17:15","543","546"
"14.02.2018 17:15 - 14.02.2018 17:30","539","547"
"14.02.2018 17:30 - 14.02.2018 17:45","547","563"
"14.02.2018 17:45 - 14.02.2018 18:00","545","572"
"14.02.2018 18:00 - 14.02.2018 18:15","548","561"
"14.02.2018 18:15 - 14.02.2018 18:30","556","612"
"14.02.2018 18:30 - 14.02.2018 18:45","567","637"
"14.02.2018 18:45 - 14.02.2018 19:00","587","633"
"14.02.2018 19:00 - 14.02.2018 19:15","585","638"
"14.02.2018 19:15 - 14.02.2018 19:30","595","565"
"14.02.2018 19:30 - 14.02.2018 19:45","601","599"
"14.02.2018 19:45 - 14.02.2018 20:00","596","605"
"14.02.2018 20:00 - 14.02.2018 20:15","578","589"
"14.02.2018 20:15 - 14.02.2018 20:30","571","584"
"14.02.2018 20:30 - 14.02.2018 20:45","565","558"
"14.02.2018 20:45 - 14.02.2018 21:00","556","582"
"14.02.2018 21:00 - 14.02.2018 21:15","536","560"
"14.02.2018 21:15 - 14.02.2018 21:30","527","557"
"14.02.2018 21:30 - 14.02.2018 21:45","512","561"
"14.02.2018 21:45 - 14.02.2018 22:00","501","551"
"14.02.2018 22:00 - 14.02.2018 22:15","506","541"
"14.02.2018 22:15 - 14.02.2018 22:30","495","469"
"14.02.2018 22:30 - 14.02.2018 22:45","485","454"
"14.02.2018 22:45 - 14.02.2018 23:00","470","463"
"14.02.2018 23:00 - 14.02.2018 23:15","523","421"
"14.02.2018 23:15 - 14.02.2018 23:30","531","464"
"14.02.2018 23:30 - 14.02.2018 23:45","520","475"
"14.02.2018 23:45 - 15.02.2018 00:00","507","464"
"15.02.2018 00:00 - 15.02.2018 00:15","497","456"
"15.02.2018 00:15 - 15.02.2018 00:30","444","382"
"15.02.2018 00:30 - 15.02.2018 00:45","437","360"
"15.02.2018 00:45 - 15.02.2018 01:00","429","392"
"15.02.2018 01:00 - 15.02.2018 01:15","423","406"
"15.02.2018 01:15 - 15.02.2018 01:30","421","456"
"15.02.2018 01:30 - 15.02.2018 01:45","416","469"
"15.02.2018 01:45 - 15.02.2018 02:00","412","458"
"15.02.2018 02:00 - 15.02.2018 02:15","410","442"
"15.02.2018 02:15 - 15.02.2018 02:30","404","514"
"15.02.2018 02:30 - 15.02.2018 02:45","402","513"
"15.02.2018 02:45 - 15.02.2018 03:00","402","487"
"15.02.2018 03:00 - 15.02.2018 03:15","400","512"
"15.02.2018 03:15 - 15.02.2018 03:30","399","526"
"15.02.2018 03:30 - 15.02.2018 03:45","399","514"
"15.02.2018 03:45 - 15.02.2018 04:00","399","499"
"15.02.2018 04:00 - 15.02.2018 04:15","399","512"
"15.02.2018 04:15 - 15.02.2018 04:30","405","505"
"15.02.2018 04:30 - 15.02.2018 04:45","403","493"
"15.02.2018 04:45 - 15.02.2018 05:00","407","500"
"15.02.2018 05:00 - 15.02.2018 05:15","413","502"
"15.02.2018 05:15 - 15.02.2018 05:30","425","478"
"15.02.2018 05:30 - 15.02.2018 05:45","428","475"
"15.02.2018 05:45 - 15.02.2018 06:00","439","467"
"15.02.2018 06:00 - 15.02.2018 06:15","452","456"
"15.02.2018 06:15 - 15.02.2018 06:30","425","462"
"15.02.2018 06:30 - 15.02.2018 06:45","443","464"
"15.02.2018 06:45 - 15.02.2018 07:00","459","464"
"15.02.2018 07:00 - 15.02.2018 07:15","481","460"
"15.02.2018 07:15 - 15.02.2018 07:30","501","481"
"15.02.2018 07:30 - 15.02.2018 07:45","524","522"
"15.02.2018 07:45 - 15.02.2018 08:00","538","537"
"15.02.2018 08:00 - 15.02.2018 08:15","543","541"
"15.02.2018 08:15 - 15.02.2018 08:30","563","508"
"15.02.2018 08:30 - 15.02.2018 08:45","572","520"
"15.02.2018 08:45 - 15.02.2018 09:00","576","529"
"15.02.2018 09:00 - 15.02.2018 09:15","577","531"
"15.02.2018 09:15 - 15.02.2018 09:30","601","533"
"15.02.2018 09:30 - 15.02.2018 09:45","602","536"
"15.02.2018 09:45 - 15.02.2018 10:00","602","540"
"15.02.2018 10:00 - 15.02.2018 10:15","604","535"
"15.02.2018 10:15 - 15.02.2018 10:30","612","544"
"15.02.2018 10:30 - 15.02.2018 10:45","617","569"
"15.02.2018 10:45 - 15.02.2018 11:00","615","569"
"15.02.2018 11:00 - 15.02.2018 11:15","616","561"
"15.02.2018 11:15 - 15.02.2018 11:30","625","594"
"15.02.2018 11:30 - 15.02.2018 11:45","630","592"
"15.02.2018 11:45 - 15.02.2018 12:00","634","590"
"15.02.2018 12:00 - 15.02.2018 12:15","638","575"
"15.02.2018 12:15 - 15.02.2018 12:30","625","603"
"15.02.2018 12:30 - 15.02.2018 12:45","618","609"
"15.02.2018 12:45 - 15.02.2018 13:00","610","589"
"15.02.2018 13:00 - 15.02.2018 13:15","604","578"
"15.02.2018 13:15 - 15.02.2018 13:30","603","545"
"15.02.2018 13:30 - 15.02.2018 13:45","602","521"
"15.02.2018 13:45 - 15.02.2018 14:00","598","543"
"15.02.2018 14:00 - 15.02.2018 14:15","590","523"
"15.02.2018 14:15 - 15.02.2018 14:30","589","532"
"15.02.2018 14:30 - 15.02.2018 14:45","589","530"
"15.02.2018 14:45 - 15.02.2018 15:00","580","537"
"15.02.2018 15:00 - 15.02.2018 15:15","580","530"
"15.02.2018 15:15 - 15.02.2018 15:30","582","544"
"15.02.2018 15:30 - 15.02.2018 15:45","580","520"
"15.02.2018 15:45 - 15.02.2018 16:00","575","510"
"15.02.2018 16:00 - 15.02.2018 16:15","573","515"
"15.02.2018 16:15 - 15.02.2018 16:30","575","558"
"15.02.2018 16:30 - 15.02.2018 16:45","579","548"
"15.02.2018 16:45 - 15.02.2018 17:00","576","528"
"15.02.2018 17:00 - 15.02.2018 17:15","576","525"
"15.02.2018 17:15 - 15.02.2018 17:30","578","550"
"15.02.2018 17:30 - 15.02.2018 17:45","583","544"
"15.02.2018 17:45 - 15.02.2018 18:00","596","549"
"15.02.2018 18:00 - 15.02.2018 18:15","618","531"
"15.02.2018 18:15 - 15.02.2018 18:30","595","541"
"15.02.2018 18:30 - 15.02.2018 18:45","605","548"
"15.02.2018 18:45 - 15.02.2018 19:00","605","557"
"15.02.2018 19:00 - 15.02.2018 19:15","607","566"
"15.02.2018 19:15 - 15.02.2018 19:30","590","611"
"15.02.2018 19:30 - 15.02.2018 19:45","581","635"
"15.02.2018 19:45 - 15.02.2018 20:00","572","651"
"15.02.2018 20:00 - 15.02.2018 20:15","564","645"
"15.02.2018 20:15 - 15.02.2018 20:30","560","625"
"15.02.2018 20:30 - 15.02.2018 20:45","549","628"
"15.02.2018 20:45 - 15.02.2018 21:00","536","627"
"15.02.2018 21:00 - 15.02.2018 21:15","525","600"
"15.02.2018 21:15 - 15.02.2018 21:30","523","600"
"15.02.2018 21:30 - 15.02.2018 21:45","512","598"
"15.02.2018 21:45 - 15.02.2018 22:00","501","586"
"15.02.2018 22:00 - 15.02.2018 22:15","487","565"
"15.02.2018 22:15 - 15.02.2018 22:30","540","560"
"15.02.2018 22:30 - 15.02.2018 22:45","542","576"
"15.02.2018 22:45 - 15.02.2018 23:00","531","557"
"15.02.2018 23:00 - 15.02.2018 23:15","520","535"
"15.02.2018 23:15 - 15.02.2018 23:30","513","566"
"15.02.2018 23:30 - 15.02.2018 23:45","504","578"
"15.02.2018 23:45 - 16.02.2018 00:00","499","581"
"16.02.2018 00:00 - 16.02.2018 00:15","491","586"
"16.02.2018 00:15 - 16.02.2018 00:30","504","530"
"16.02.2018 00:30 - 16.02.2018 00:45","498","500"
"16.02.2018 00:45 - 16.02.2018 01:00","489","511"
"16.02.2018 01:00 - 16.02.2018 01:15","483","536"
"16.02.2018 01:15 - 16.02.2018 01:30","473","631"
"16.02.2018 01:30 - 16.02.2018 01:45","471","603"
"16.02.2018 01:45 - 16.02.2018 02:00","462","569"
"16.02.2018 02:00 - 16.02.2018 02:15","460","568"
"16.02.2018 02:15 - 16.02.2018 02:30","463","559"
"16.02.2018 02:30 - 16.02.2018 02:45","463","530"
"16.02.2018 02:45 - 16.02.2018 03:00","459","520"
"16.02.2018 03:00 - 16.02.2018 03:15","459","497"
"16.02.2018 03:15 - 16.02.2018 03:30","462","503"
"16.02.2018 03:30 - 16.02.2018 03:45","460","507"
"16.02.2018 03:45 - 16.02.2018 04:00","459","516"
"16.02.2018 04:00 - 16.02.2018 04:15","459","524"
"16.02.2018 04:15 - 16.02.2018 04:30","465","480"
"16.02.2018 04:30 - 16.02.2018 04:45","465","469"
"16.02.2018 04:45 - 16.02.2018 05:00","467","461"
"16.02.2018 05:00 - 16.02.2018 05:15","471","474"
"16.02.2018 05:15 - 16.02.2018 05:30","479","469"
"16.02.2018 05:30 - 16.02.2018 05:45","488","452"
"16.02.2018 05:45 - 16.02.2018 06:00","494","460"
"16.02.2018 06:00 - 16.02.2018 06:15","507","464"
"16.02.2018 06:15 - 16.02.2018 06:30","483","581"
"16.02.2018 06:30 - 16.02.2018 06:45","503","624"
"16.02.2018 06:45 - 16.02.2018 07:00","520","598"
"16.02.2018 07:00 - 16.02.2018 07:15","542","629"
"16.02.2018 07:15 - 16.02.2018 07:30","558","622"
"16.02.2018 07:30 - 16.02.2018 07:45","576","610"
"16.02.2018 07:45 - 16.02.2018 08:00","590","618"
"16.02.2018 08:00 - 16.02.2018 08:15","598","671"
"16.02.2018 08:15 - 16.02.2018 08:30","593","700"
"16.02.2018 08:30 - 16.02.2018 08:45","600","727"
"16.02.2018 08:45 - 16.02.2018 09:00","605","736"
"16.02.2018 09:00 - 16.02.2018 09:15","606","721"
"16.02.2018 09:15 - 16.02.2018 09:30","603","692"
"16.02.2018 09:30 - 16.02.2018 09:45","603","702"
"16.02.2018 09:45 - 16.02.2018 10:00","604","683"
"16.02.2018 10:00 - 16.02.2018 10:15","606","697"
"16.02.2018 10:15 - 16.02.2018 10:30","591","712"
"16.02.2018 10:30 - 16.02.2018 10:45","594","698"
"16.02.2018 10:45 - 16.02.2018 11:00","596","682"
"16.02.2018 11:00 - 16.02.2018 11:15","596","679"
"16.02.2018 11:15 - 16.02.2018 11:30","586","708"
"16.02.2018 11:30 - 16.02.2018 11:45","590","703"
"16.02.2018 11:45 - 16.02.2018 12:00","594","684"
"16.02.2018 12:00 - 16.02.2018 12:15","599","654"
"16.02.2018 12:15 - 16.02.2018 12:30","584","648"
"16.02.2018 12:30 - 16.02.2018 12:45","577","634"
"16.02.2018 12:45 - 16.02.2018 13:00","571","651"
"16.02.2018 13:00 - 16.02.2018 13:15","563","666"
"16.02.2018 13:15 - 16.02.2018 13:30","571","638"
"16.02.2018 13:30 - 16.02.2018 13:45","567","642"
"16.02.2018 13:45 - 16.02.2018 14:00","563","656"
"16.02.2018 14:00 - 16.02.2018 14:15","556","629"
"16.02.2018 14:15 - 16.02.2018 14:30","557","629"
"16.02.2018 14:30 - 16.02.2018 14:45","556","631"
"16.02.2018 14:45 - 16.02.2018 15:00","550","651"
"16.02.2018 15:00 - 16.02.2018 15:15","547","636"
"16.02.2018 15:15 - 16.02.2018 15:30","565","615"
"16.02.2018 15:30 - 16.02.2018 15:45","560","585"
"16.02.2018 15:45 - 16.02.2018 16:00","556","560"
"16.02.2018 16:00 - 16.02.2018 16:15","551","567"
"16.02.2018 16:15 - 16.02.2018 16:30","565","544"
"16.02.2018 16:30 - 16.02.2018 16:45","569","536"
"16.02.2018 16:45 - 16.02.2018 17:00","569","509"
"16.02.2018 17:00 - 16.02.2018 17:15","573","560"
"16.02.2018 17:15 - 16.02.2018 17:30","569","505"
"16.02.2018 17:30 - 16.02.2018 17:45","574","503"
"16.02.2018 17:45 - 16.02.2018 18:00","585","485"
"16.02.2018 18:00 - 16.02.2018 18:15","603","490"
"16.02.2018 18:15 - 16.02.2018 18:30","608","556"
"16.02.2018 18:30 - 16.02.2018 18:45","618","578"
"16.02.2018 18:45 - 16.02.2018 19:00","618","578"
"16.02.2018 19:00 - 16.02.2018 19:15","618","557"
"16.02.2018 19:15 - 16.02.2018 19:30","611","536"
"16.02.2018 19:30 - 16.02.2018 19:45","604","568"
"16.02.2018 19:45 - 16.02.2018 20:00","598","578"
"16.02.2018 20:00 - 16.02.2018 20:15","587","645"
"16.02.2018 20:15 - 16.02.2018 20:30","593","664"
"16.02.2018 20:30 - 16.02.2018 20:45","582","656"
"16.02.2018 20:45 - 16.02.2018 21:00","569","659"
"16.02.2018 21:00 - 16.02.2018 21:15","556","645"
"16.02.2018 21:15 - 16.02.2018 21:30","552","683"
"16.02.2018 21:30 - 16.02.2018 21:45","543","655"
"16.02.2018 21:45 - 16.02.2018 22:00","531","662"
"16.02.2018 22:00 - 16.02.2018 22:15","521","620"
"16.02.2018 22:15 - 16.02.2018 22:30","566","613"
"16.02.2018 22:30 - 16.02.2018 22:45","569","568"
"16.02.2018 22:45 - 16.02.2018 23:00","558","573"
"16.02.2018 23:00 - 16.02.2018 23:15","549","561"
"16.02.2018 23:15 - 16.02.2018 23:30","539","578"
"16.02.2018 23:30 - 16.02.2018 23:45","531","615"
"16.02.2018 23:45 - 17.02.2018 00:00","520","635"
"17.02.2018 00:00 - 17.02.2018 00:15","510","651"
"17.02.2018 00:15 - 17.02.2018 00:30","491","624"
"17.02.2018 00:30 - 17.02.2018 00:45","479","621"
"17.02.2018 00:45 - 17.02.2018 01:00","476","600"
"17.02.2018 01:00 - 17.02.2018 01:15","468","603"
"17.02.2018 01:15 - 17.02.2018 01:30","452","519"
"17.02.2018 01:30 - 17.02.2018 01:45","446","486"
"17.02.2018 01:45 - 17.02.2018 02:00","440","482"
"17.02.2018 02:00 - 17.02.2018 02:15","437","512"
"17.02.2018 02:15 - 17.02.2018 02:30","425","469"
"17.02.2018 02:30 - 17.02.2018 02:45","423","493"
"17.02.2018 02:45 - 17.02.2018 03:00","419","506"
"17.02.2018 03:00 - 17.02.2018 03:15","417","489"
"17.02.2018 03:15 - 17.02.2018 03:30","404","447"
"17.02.2018 03:30 - 17.02.2018 03:45","404","433"
"17.02.2018 03:45 - 17.02.2018 04:00","402","446"
"17.02.2018 04:00 - 17.02.2018 04:15","398","426"
"17.02.2018 04:15 - 17.02.2018 04:30","401","426"
"17.02.2018 04:30 - 17.02.2018 04:45","399","416"
"17.02.2018 04:45 - 17.02.2018 05:00","399","418"
"17.02.2018 05:00 - 17.02.2018 05:15","403","423"
"17.02.2018 05:15 - 17.02.2018 05:30","417","415"
"17.02.2018 05:30 - 17.02.2018 05:45","415","418"
"17.02.2018 05:45 - 17.02.2018 06:00","412","420"
"17.02.2018 06:00 - 17.02.2018 06:15","418","396"
"17.02.2018 06:15 - 17.02.2018 06:30","387","437"
"17.02.2018 06:30 - 17.02.2018 06:45","390","459"
"17.02.2018 06:45 - 17.02.2018 07:00","396","466"
"17.02.2018 07:00 - 17.02.2018 07:15","405","487"
"17.02.2018 07:15 - 17.02.2018 07:30","414","501"
"17.02.2018 07:30 - 17.02.2018 07:45","416","489"
"17.02.2018 07:45 - 17.02.2018 08:00","423","492"
"17.02.2018 08:00 - 17.02.2018 08:15","430","527"
"17.02.2018 08:15 - 17.02.2018 08:30","439","517"
"17.02.2018 08:30 - 17.02.2018 08:45","444","531"
"17.02.2018 08:45 - 17.02.2018 09:00","448","513"
"17.02.2018 09:00 - 17.02.2018 09:15","456","536"
"17.02.2018 09:15 - 17.02.2018 09:30","463","511"
"17.02.2018 09:30 - 17.02.2018 09:45","469","510"
"17.02.2018 09:45 - 17.02.2018 10:00","472","499"
"17.02.2018 10:00 - 17.02.2018 10:15","475","524"
"17.02.2018 10:15 - 17.02.2018 10:30","482","554"
"17.02.2018 10:30 - 17.02.2018 10:45","486","571"
"17.02.2018 10:45 - 17.02.2018 11:00","486","573"
"17.02.2018 11:00 - 17.02.2018 11:15","491","559"
"17.02.2018 11:15 - 17.02.2018 11:30","498","550"
"17.02.2018 11:30 - 17.02.2018 11:45","508","565"
"17.02.2018 11:45 - 17.02.2018 12:00","515","571"
"17.02.2018 12:00 - 17.02.2018 12:15","519","581"
"17.02.2018 12:15 - 17.02.2018 12:30","518","575"
"17.02.2018 12:30 - 17.02.2018 12:45","516","574"
"17.02.2018 12:45 - 17.02.2018 13:00","510","579"
"17.02.2018 13:00 - 17.02.2018 13:15","503","591"
"17.02.2018 13:15 - 17.02.2018 13:30","501","585"
"17.02.2018 13:30 - 17.02.2018 13:45","496","571"
"17.02.2018 13:45 - 17.02.2018 14:00","494","573"
"17.02.2018 14:00 - 17.02.2018 14:15","486","564"
"17.02.2018 14:15 - 17.02.2018 14:30","483","523"
"17.02.2018 14:30 - 17.02.2018 14:45","480","507"
"17.02.2018 14:45 - 17.02.2018 15:00","476","495"
"17.02.2018 15:00 - 17.02.2018 15:15","473","494"
"17.02.2018 15:15 - 17.02.2018 15:30","468","468"
"17.02.2018 15:30 - 17.02.2018 15:45","468","457"
"17.02.2018 15:45 - 17.02.2018 16:00","465","448"
"17.02.2018 16:00 - 17.02.2018 16:15","469","431"
"17.02.2018 16:15 - 17.02.2018 16:30","469","446"
"17.02.2018 16:30 - 17.02.2018 16:45","475","434"
"17.02.2018 16:45 - 17.02.2018 17:00","477","429"
"17.02.2018 17:00 - 17.02.2018 17:15","482","438"
"17.02.2018 17:15 - 17.02.2018 17:30","480","428"
"17.02.2018 17:30 - 17.02.2018 17:45","487","419"
"17.02.2018 17:45 - 17.02.2018 18:00","502","409"
"17.02.2018 18:00 - 17.02.2018 18:15","521","429"
"17.02.2018 18:15 - 17.02.2018 18:30","531","458"
"17.02.2018 18:30 - 17.02.2018 18:45","539","466"
"17.02.2018 18:45 - 17.02.2018 19:00","539","471"
"17.02.2018 19:00 - 17.02.2018 19:15","537","491"
"17.02.2018 19:15 - 17.02.2018 19:30","539","572"
"17.02.2018 19:30 - 17.02.2018 19:45","533","605"
"17.02.2018 19:45 - 17.02.2018 20:00","524","673"
"17.02.2018 20:00 - 17.02.2018 20:15","517","711"
"17.02.2018 20:15 - 17.02.2018 20:30","515","707"
"17.02.2018 20:30 - 17.02.2018 20:45","504","687"
"17.02.2018 20:45 - 17.02.2018 21:00","498","686"
"17.02.2018 21:00 - 17.02.2018 21:15","491","663"
"17.02.2018 21:15 - 17.02.2018 21:30","486","656"
"17.02.2018 21:30 - 17.02.2018 21:45","479","653"
"17.02.2018 21:45 - 17.02.2018 22:00","473","636"
"17.02.2018 22:00 - 17.02.2018 22:15","465","641"
"17.02.2018 22:15 - 17.02.2018 22:30","522","578"
"17.02.2018 22:30 - 17.02.2018 22:45","524","582"
"17.02.2018 22:45 - 17.02.2018 23:00","517","568"
"17.02.2018 23:00 - 17.02.2018 23:15","512","562"
"17.02.2018 23:15 - 17.02.2018 23:30","508","650"
"17.02.2018 23:30 - 17.02.2018 23:45","499","674"
"17.02.2018 23:45 - 18.02.2018 00:00","490","655"
"18.02.2018 00:00 - 18.02.2018 00:15","484","675"
"18.02.2018 00:15 - 18.02.2018 00:30","486","658"
"18.02.2018 00:30 - 18.02.2018 00:45","482","624"
"18.02.2018 00:45 - 18.02.2018 01:00","477","661"
"18.02.2018 01:00 - 18.02.2018 01:15","471","657"
"18.02.2018 01:15 - 18.02.2018 01:30","463","658"
"18.02.2018 01:30 - 18.02.2018 01:45","456","671"
"18.02.2018 01:45 - 18.02.2018 02:00","452","651"
"18.02.2018 02:00 - 18.02.2018 02:15","448","657"
"18.02.2018 02:15 - 18.02.2018 02:30","443","626"
"18.02.2018 02:30 - 18.02.2018 02:45","441","596"
"18.02.2018 02:45 - 18.02.2018 03:00","438","611"
"18.02.2018 03:00 - 18.02.2018 03:15","438","590"
"18.02.2018 03:15 - 18.02.2018 03:30","437","564"
"18.02.2018 03:30 - 18.02.2018 03:45","437","536"
"18.02.2018 03:45 - 18.02.2018 04:00","433","545"
"18.02.2018 04:00 - 18.02.2018 04:15","433","542"
"18.02.2018 04:15 - 18.02.2018 04:30","434","500"
"18.02.2018 04:30 - 18.02.2018 04:45","432","476"
"18.02.2018 04:45 - 18.02.2018 05:00","432","440"
"18.02.2018 05:00 - 18.02.2018 05:15","432","437"
"18.02.2018 05:15 - 18.02.2018 05:30","434","536"
"18.02.2018 05:30 - 18.02.2018 05:45","436","554"
"18.02.2018 05:45 - 18.02.2018 06:00","436","547"
"18.02.2018 06:00 - 18.02.2018 06:15","436","557"
"18.02.2018 06:15 - 18.02.2018 06:30","393","528"
"18.02.2018 06:30 - 18.02.2018 06:45","391","530"
"18.02.2018 06:45 - 18.02.2018 07:00","395","535"
"18.02.2018 07:00 - 18.02.2018 07:15","394","525"
